@relation dwt

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute a53 numeric
@attribute a54 numeric
@attribute a55 numeric
@attribute a56 numeric
@attribute a57 numeric
@attribute a58 numeric
@attribute a59 numeric
@attribute a60 numeric
@attribute a61 numeric
@attribute a62 numeric
@attribute a63 numeric
@attribute a64 numeric
@attribute a65 numeric
@attribute a66 numeric
@attribute a67 numeric
@attribute a68 numeric
@attribute a69 numeric
@attribute a70 numeric
@attribute a71 numeric
@attribute a72 numeric
@attribute a73 numeric
@attribute a74 numeric
@attribute a75 numeric
@attribute a76 numeric
@attribute a77 numeric
@attribute a78 numeric
@attribute a79 numeric
@attribute a80 numeric
@attribute class {0,1,2,3,4,5,6,7}

@data
0,83.001962,100.507097,7.100392,88.802535,-44.366354,42.467773,37.389424,-4.419241,-29.834,27.197,15.919088,-1.928875,-12.153751,13.534024,7.411411,2.24418,-111.38346,-93.877264,6.866828,-100.015039,-43.676572,44.262763,37.649024,4.427991,-28.8085,25.781,16.136196,2.532938,-15.053596,11.187136,7.407867,-2.127728,-201.94899,-166.07322,14.987561,-183.579416,-72.297779,62.700573,57.801602,6.47427,-35.4005,41.992,25.308114,0.13475,-21.892026,14.915003,12.41168,3.141941,-52.169985,-19.162594,13.638108,-34.112599,-86.834834,68.604207,65.618699,2.744635,-38.086,43.8475,28.582911,-1.574875,-24.790457,30.107193,15.66681,3.124616,342.503433,390.32365,19.058268,363.082008,-88.009692,89.284252,68.281577,18.419248,-35.5955,46.14,31.682317,2.1975,-25.274118,27.275937,16.138733,3.392433,1
1,66.601681,94.360925,10.688423,82.052494,-43.952697,24.410033,25.654901,-11.393965,-27.832,25.7815,17.967243,-1.428125,-9.391792,15.053596,7.426665,0.983939,-106.721859,-77.132975,11.528507,-93.800366,-23.547363,43.365445,25.701684,11.747695,-26.319,24.707,17.538616,0.982625,-13.879799,9.046017,7.525067,-1.126421,-208.818532,-156.578544,19.454763,-186.358434,-73.922004,65.25641,50.230411,-12.998656,-43.459,38.8675,30.943211,-1.307063,-17.194008,16.295983,12.075861,0.405835,-53.585966,-17.263305,13.006016,-37.064593,-77.270861,67.465412,52.059129,-14.155747,-52.881,38.672,32.424156,-0.158625,-17.884852,23.685249,13.581792,2.019939,350.203119,398.297693,18.809171,372.807908,-89.696495,87.419611,67.758758,-17.738304,-58.7885,51.95,44.088369,-4.059875,-27.205933,22.09638,18.643476,-0.358238,1
2,68.501323,107.585236,15.363753,94.724113,-34.699144,45.057905,29.0786,-0.258713,-24.5115,24.56,15.892284,-2.441563,-17.608373,12.153044,7.588107,-0.319303,-117.977938,-79.998172,14.811659,-105.220141,-45.091492,34.733439,29.385444,1.122178,-25.1465,21.24,16.095163,1.855375,-14.432049,17.194008,7.901554,0.06912,-204.813126,-150.605613,19.847345,-173.065534,-77.546633,58.902702,49.02314,-13.033657,-41.163,36.3775,29.328177,-3.784313,-18.160623,17.056123,11.623663,-0.017368,-56.485811,-2.244003,20.451782,-24.099613,-85.72998,76.028121,57.579304,-7.250496,-44.4335,40.2345,32.147971,-5.358875,-21.406244,25.066935,13.551868,-1.11334,347.442927,407.483718,22.299168,383.436784,-109.963236,63.045641,65.030768,-27.016959,-52.5415,38.82,36.473381,-4.614625,-24.233964,21.821315,14.833267,1.330421,1
3,92.807765,122.155171,11.436622,107.127738,-33.352813,37.840466,29.604291,5.99874,-22.07,22.0215,13.76834,1.275625,-12.015158,13.949095,6.985972,-0.384047,-130.752883,-105.548061,10.733102,-118.046704,-37.599342,33.249222,29.19469,-5.386209,-20.2635,17.9195,13.352737,-0.574,-15.950915,12.429523,7.801283,0.336671,-223.355233,-200.737009,8.851402,-208.343533,-72.609613,66.327323,58.911903,1.492879,-42.1415,39.6485,26.892313,2.264,-15.608675,15.675143,10.712728,-1.334222,-66.395205,-39.636164,10.555155,-53.723498,-78.755432,58.626577,60.002886,-3.86699,-40.2345,40.723,26.573944,2.417125,-21.061175,17.608373,12.844059,-2.261504,348.719962,374.955745,9.934618,365.188656,-96.467396,86.972366,75.000941,-3.160944,-55.0755,52,37.671713,2.136375,-19.332299,18.087791,12.747313,-1.890273,1
4,71.193986,103.510887,14.449101,88.094722,-18.29957,36.253011,25.720774,9.062988,-31.7875,22.9005,18.74803,-1.110875,-17.332601,12.222341,7.831057,-0.215756,-114.3176,-81.206618,14.211533,-99.635323,-35.389634,19.093651,26.072042,-8.519311,-22.3145,29.053,18.01206,0.372312,-13.741206,18.713581,8.563064,0.012949,-216.722218,-166.177165,20.406453,-189.75016,-43.055732,67.88119,43.061834,16.753835,-44.5785,31.0055,30.579732,1.23925,-17.334723,17.401191,12.277665,-0.772603,-62.942403,4.764839,24.572422,-26.645993,-48.993308,69.640118,43.854459,15.286676,-53.0765,38.3295,34.898929,-1.336938,-17.67767,20.578222,13.443667,0.349708,341.021337,412.045264,27.264235,381.477744,-53.625918,88.766296,52.257989,23.484077,-41.845,41.455,35.289072,2.496375,-18.504984,28.178205,15.472966,-0.996844,1
5,92.772763,121.602567,11.470571,102.233233,-43.469036,37.21998,36.195206,1.622898,-27.734,19.629,14.72521,0.793438,-9.183903,16.711055,8.487544,-1.916215,-133.376602,-102.475329,12.131078,-113.161215,-37.150683,43.227559,35.73423,-1.346596,-19.5315,24.072,13.702943,-0.659312,-16.918237,9.667564,8.723536,1.86442,-223.80071,-191.864586,13.847547,-208.98099,-69.295757,70.950741,52.176115,13.369621,-41.844,35.01,27.521362,3.46125,-13.191077,17.884852,11.415708,-1.799675,-74.301366,-31.005218,15.67652,-55.682891,-67.81048,58.419041,48.451044,10.867171,-59.7655,40.8205,30.19456,1.849375,-18.782877,40.534896,14.997195,-1.609905,311.0142,395.713572,30.208666,350.774196,-69.887959,84.484411,56.439516,21.54192,-51.125,39.8915,35.155909,2.637312,-20.647518,20.647518,15.12187,-2.589646,1
6,89.079191,124.399882,13.84537,105.677727,-40.08553,38.359129,28.793956,-7.449105,-27.734,25.3905,17.075682,1.263437,-11.048543,12.429523,7.563851,-2.671494,-138.659397,-101.059701,14.307801,-118.599396,-36.874204,39.256801,27.856593,7.889456,-22.1685,25.9765,15.834357,-1.172062,-12.360934,13.258252,7.804978,2.813887,-253.426363,-199.805749,19.150455,-229.162259,-65.151051,71.781238,54.492479,-8.433574,-44.0435,33.205,28.283584,-1.360813,-14.777118,18.022738,11.918456,-3.042283,-82.691188,-29.520647,19.756033,-52.964066,-58.281155,72.092011,52.786488,-7.95831,-43.017,32.226,26.891324,-2.246,-22.442155,18.299216,13.156901,-3.495848,311.293154,374.611738,22.571947,341.107604,-81.415568,98.922471,76.675387,-5.523211,-52.0975,47.36,37.951251,-1.574375,-28.241845,20.788939,15.776512,-3.694014,1
7,109.380934,135.862083,9.586376,124.641359,-43.504038,25.79172,25.441707,-9.235875,-35.01,17.529,18.895469,-4.162625,-12.706002,9.046017,6.222396,-2.54638,-148.602733,-122.327705,9.477036,-137.321286,-26.171083,42.122705,24.934115,8.295158,-20.1175,34.424,18.685607,2.984562,-9.598267,10.703475,6.263201,2.343484,-232.122297,-201.396032,11.891849,-216.24006,-67.360406,32.836625,45.051092,-18.470955,-43.944,34.1305,30.809276,-4.674813,-19.403717,17.401898,11.976451,-3.694147,-36.080124,-13.776208,9.129475,-27.397029,-69.157165,19.645194,41.50956,-23.046731,-56.836,41.8945,31.908986,-2.92975,-31.281697,19.749492,14.293018,-4.108644,343.819712,369.850434,10.522235,353.414974,-92.251979,45.37186,62.395919,-22.130144,-51.954,47.85,39.574978,-5.29825,-26.650855,23.617366,16.573925,-4.350209,1
8,110.381843,136.242506,9.746457,126.056987,-44.125231,38.565957,34.367955,-0.207359,-32.861,22.6075,16.468379,0.89125,-14.846414,14.501346,8.165615,-1.519042,-148.361256,-122.880663,9.501023,-137.891037,-39.533279,45.091846,34.791091,0.45741,-25.8295,32.08,15.977292,-0.408812,-15.053596,12.567409,8.204613,1.575301,-225.458522,-188.309253,13.590862,-206.780473,-62.975991,71.229694,58.236761,-6.145111,-37.695,35.4495,25.526114,0.976875,-18.299216,17.953441,11.860843,-2.623985,-35.079567,-21.855256,6.317395,-28.528046,-72.126306,69.882303,60.744167,-8.553871,-38.916,30.9085,24.444971,0.945875,-19.887378,16.711055,12.819716,-3.008121,318.953949,371.574007,19.316802,349.68534,-83.627398,104.685745,76.40171,-3.469243,-47.455,47.56,36.668652,2.11325,-27.626662,28.446906,16.661899,-3.539246,1
9,110.312901,128.576762,7.139047,119.617542,-34.388371,41.881228,28.307091,8.769892,-29.687,26.8065,20.129562,-0.012125,-15.882325,12.291637,7.622135,-0.388467,-139.488126,-121.430387,6.818576,-131.141261,-41.742281,34.388371,28.176376,-8.709257,-30.8105,29.053,20.969343,-0.225875,-11.462908,13.120366,7.160437,0.556847,-234.986786,-192.210361,15.314367,-213.737167,-63.115291,73.922004,49.490477,14.949475,-38.8155,37.353,28.988279,0.50075,-18.644284,19.818082,12.927836,0.311304,-32.109719,-20.060266,4.367157,-27.043122,-70.434553,68.363084,51.954847,16.028873,-44.434,53.613,34.773892,-0.689875,-25.135525,24.859046,14.015085,-0.884679,333.390948,368.609462,14.028722,348.497047,-85.83145,102.031973,69.417253,21.701107,-45.9975,40.575,34.754065,0.562125,-31.765358,28.793388,17.695619,0.742992,1
