@relation Sub1_A_32

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute a53 numeric
@attribute a54 numeric
@attribute a55 numeric
@attribute a56 numeric
@attribute a57 numeric
@attribute a58 numeric
@attribute a59 numeric
@attribute a60 numeric
@attribute a61 numeric
@attribute a62 numeric
@attribute a63 numeric
@attribute a64 numeric
@attribute a65 numeric
@attribute a66 numeric
@attribute a67 numeric
@attribute a68 numeric
@attribute a69 numeric
@attribute a70 numeric
@attribute a71 numeric
@attribute a72 numeric
@attribute a73 numeric
@attribute a74 numeric
@attribute a75 numeric
@attribute a76 numeric
@attribute a77 numeric
@attribute a78 numeric
@attribute a79 numeric
@attribute a80 numeric
@attribute a81 numeric
@attribute a82 numeric
@attribute a83 numeric
@attribute a84 numeric
@attribute a85 numeric
@attribute a86 numeric
@attribute a87 numeric
@attribute a88 numeric
@attribute a89 numeric
@attribute a90 numeric
@attribute a91 numeric
@attribute a92 numeric
@attribute a93 numeric
@attribute a94 numeric
@attribute a95 numeric
@attribute a96 numeric
@attribute class {0,1}

@data
30.894328,1025.316567,427.557823,284.911967,-28.698508,993.5669,432.451018,245.064908,-11.155822,1434.69015,474.775553,178.683993,-5.002466,2023.920868,490.166201,125.560765,17.284163,1025.536209,433.057037,275.531458,-19.226926,1008.018354,438.735125,248.339769,-8.921466,1435.079178,475.370554,177.448029,-5.038029,2030.520225,491.672026,126.311376,15.301256,1030.511187,437.416558,272.954948,-13.166652,1013.893344,440.665892,250.844403,-2.86294,1431.706361,473.466205,179.050876,-4.790162,2031.032801,491.72423,126.625406,-26.83805,1014.027276,445.001474,243.462004,-23.648558,1020.381407,444.411016,250.912296,-6.871909,1457.803611,482.429241,181.478052,-4.57066,2048.027161,495.853809,127.609516,-639.939959,763.947832,588.127112,-248.503482,-162.658821,1163.756731,529.809276,254.03067,-50.273728,1504.263228,497.558559,191.657597,-32.239625,2054.8247,497.547989,129.122533,2.245736,1023.801742,439.988325,261.765913,-14.424136,1013.64268,440.471728,250.843352,-6.949954,1447.421461,478.975429,180.204644,-4.314559,2048.775825,496.07284,127.516639,1
66.552705,149.300508,31.996586,117.805345,-14.876315,5.050411,7.590195,-3.426503,-11.25984,13.556124,7.044209,2.630767,-6.782647,5.402949,3.278392,-0.47039,47.561954,128.977401,32.762906,98.936747,-12.685386,2.5184,5.927742,-4.532699,-11.505395,10.80667,7.10288,-1.45389,-6.9636,6.451495,3.74021,-0.710426,46.589856,95.133213,19.507887,68.715747,-9.308412,3.676512,5.032962,-2.445665,-5.843376,11.643459,5.034179,0.587915,-7.044307,5.120175,3.144654,-0.312643,12.694242,64.528715,21.112303,35.213923,-10.227067,7.901129,6.647482,-1.973126,-9.160762,17.229021,8.248456,1.842848,-8.600589,7.891606,4.010214,-0.218828,-352.088991,-152.663794,71.302299,-246.775162,-46.649285,10.29271,22.897792,-14.136112,-39.040493,50.524725,31.200726,2.616052,-11.843146,31.893824,11.574981,1.357194,25.493509,64.270835,15.725634,50.112669,-5.178004,5.119333,3.827952,-1.004132,-7.528556,6.703848,3.924163,1.210189,-5.047671,3.838089,2.603233,-0.172555,1
73.111389,132.598476,21.723808,103.284906,-2.910936,14.204146,6.522577,7.419665,-8.734589,14.120154,7.751438,3.194487,-4.69345,5.13983,2.837738,0.924135,46.927811,118.379094,25.71636,79.972925,-3.798089,11.551312,6.550368,3.858159,-6.361952,11.996356,5.545386,1.702772,-3.464234,5.897658,2.493373,0.90137,54.442763,84.38749,11.584261,66.527252,-7.147295,-1.341132,2.394715,-4.642926,-4.679603,8.579299,3.958324,2.128204,-3.49644,3.36496,2.192908,0.08092,28.445823,51.994363,9.820812,39.226622,-7.184453,10.692042,6.443926,0.508133,-12.242227,18.867633,8.310546,1.944805,-6.564189,6.630559,3.444069,0.29165,-523.038414,-230.811265,113.756259,-424.428313,-31.768698,2.220397,13.176626,-10.119154,-61.005304,28.768341,27.150853,-6.782883,-41.875238,25.108961,14.398725,-1.444137,25.388123,55.691454,10.788131,39.323133,0.958331,6.153194,1.919965,3.212087,-2.793826,10.34353,4.539323,2.9056,-2.494747,2.804434,1.539889,0.46583,1
58.103618,82.292187,8.955789,72.708073,-23.190111,9.013802,13.25082,-5.870762,-10.572517,6.288509,5.257594,0.115079,-6.989471,5.616466,3.108906,-0.530281,42.585447,61.034354,8.822536,51.757493,-14.581992,6.558878,8.263387,-2.411252,-6.679439,3.177298,3.13954,-0.59527,-5.262209,2.34222,1.865409,-0.37671,59.770477,69.286065,3.865439,64.956835,-2.43141,3.773672,2.488666,-0.503173,-5.028357,2.147654,2.154478,-0.5802,-2.989892,2.846559,1.73539,-0.126427,51.124909,56.297638,1.894368,53.294785,-14.786018,14.120623,10.604756,-1.967009,-9.025711,5.661466,4.856432,-2.354997,-7.306364,3.871512,3.085901,-0.327777,-171.282842,193.301345,143.435089,-36.334056,-102.295376,21.642037,44.942534,-45.477101,-48.108919,37.608509,28.664672,-10.547978,-19.906331,12.817854,10.651358,-3.75522,17.992624,30.493629,4.659302,25.270946,-20.320482,5.022282,9.969206,-4.482877,-3.689153,3.852434,2.960196,-0.733235,-4.771746,3.555612,2.226134,-0.228481,1
44.569988,59.655422,6.729149,51.479088,-12.713704,15.885663,10.292311,1.963193,-7.592581,5.889447,4.236128,-1.561888,-6.040148,6.652299,2.886458,0.145348,27.249938,40.052334,5.26243,34.204963,-5.033849,20.235414,9.871822,3.891185,-5.970208,5.32633,3.877573,-0.331852,-5.562628,6.343841,3.226459,0.17598,40.641455,58.205474,6.604441,49.78433,-2.987049,19.740771,9.618471,3.104813,-3.457451,1.262602,1.670102,-0.264869,-2.241314,3.320246,1.404193,0.14366,15.295796,34.042083,7.456988,21.798101,-4.435894,14.707615,7.240891,2.569609,-3.707099,5.079602,2.428429,0.598016,-2.759896,2.555116,1.597177,0.211269,-109.214474,216.429318,124.543967,101.077167,-8.876285,64.619194,29.046998,25.06148,-29.27264,43.756488,21.793087,1.531811,-16.567309,17.751536,10.003568,2.409822,15.38751,23.499578,3.785917,19.695098,-1.211285,7.970743,3.423583,2.549981,-4.081379,4.34296,2.385322,-0.170794,-2.512419,1.797891,1.150586,-0.012363,1
51.179239,74.822828,8.403879,63.573885,-10.644828,12.000644,9.086127,3.491857,-7.705988,5.891035,3.974725,0.872124,-4.252577,5.387562,2.489083,0.046366,40.956514,58.000902,7.058561,49.141685,-6.034934,11.756057,7.092932,1.137192,-4.856655,5.862567,3.447809,0.627004,-2.504555,3.584674,1.870205,-0.01526,43.393215,56.639394,4.95068,51.439564,-0.462241,9.792267,4.526287,3.980696,-2.381023,5.191315,2.955058,1.508404,-3.760097,3.329281,1.868,0.066157,16.550931,37.771596,7.564039,28.108809,-11.916974,10.888671,9.026527,-0.953316,-6.540339,5.671735,4.321661,-0.435349,-4.539874,3.578754,2.049876,-0.178306,13.893514,203.505966,76.329281,140.268095,-18.062417,13.400989,12.846284,2.4001,-32.324337,26.584375,18.745921,1.046597,-13.689257,15.915958,7.995161,-2.0629,24.359494,29.547309,1.863146,27.012611,-5.38307,7.146855,4.611718,1.909421,-8.513586,6.892762,4.164391,0.209427,-2.995947,3.065278,1.574129,-0.131875,1
59.300734,80.359321,8.467532,72.822202,-7.730424,4.368873,4.538651,-2.047975,-9.608628,11.680477,6.537146,-0.451048,-5.986462,7.666605,3.569234,0.213676,42.695946,57.762668,5.918409,51.799221,-6.493254,8.976166,6.303813,-1.481215,-11.989104,7.620342,5.642144,0.413877,-4.509695,5.105939,2.616192,0.240639,31.788642,49.41347,6.590751,42.628916,-13.173988,2.397216,5.747303,-3.834401,-3.271629,2.807482,2.168481,0.205479,-5.023004,4.089432,2.126819,0.010122,26.183211,35.044514,3.446969,31.734203,-8.410451,4.56724,4.731829,-2.533503,-5.654215,3.452732,2.887107,-0.316334,-2.496671,3.575926,1.781013,0.126044,156.978198,268.574568,47.07878,221.993892,-45.495611,45.985032,35.936211,1.969634,-23.654437,27.119038,14.579797,-2.69685,-11.437635,14.612261,6.384047,-0.257672,22.309445,39.77332,7.15957,31.625562,-7.274701,2.73727,3.547093,-2.119825,-7.083098,9.774187,4.947541,-1.590445,-4.015965,5.085328,2.662421,0.268389,1
52.476013,66.731275,6.575721,59.837947,-16.587151,2.446175,7.48266,-3.806261,-3.614261,10.177623,4.835693,2.610199,-3.969701,3.354443,2.190523,-0.273811,33.13479,48.605557,7.522118,40.944687,-8.347261,2.195195,3.810844,-3.130708,-9.207717,12.624431,5.868723,1.528628,-5.033371,4.331911,2.691447,-0.197365,26.005822,36.258511,4.32973,33.48511,-8.563468,7.401192,6.194049,1.08177,-5.653268,10.476459,5.282511,2.332483,-3.017047,3.561736,1.98634,0.032779,17.150436,28.856261,4.184352,23.617886,-10.110215,7.17944,6.3343,-2.822021,-0.987819,12.057483,4.125907,4.609935,-3.284838,5.090895,2.573662,-0.119342,88.735046,389.229103,108.432972,223.405179,-48.447138,52.67381,45.97262,7.072011,-24.520102,80.073736,30.524697,10.261295,-27.360765,24.30816,12.785496,1.247464,16.924432,28.457707,4.444892,21.643029,-9.52726,2.331659,4.67594,-1.758934,-2.804955,5.053273,2.303828,0.890355,-3.775832,2.811389,1.669607,-0.311244,1
41.863232,87.669906,17.480608,69.703237,-0.098157,21.421639,7.918404,8.629932,-6.760352,10.600894,6.297016,1.938802,-5.543824,5.629348,3.197344,0.131516,29.314719,55.222962,9.784362,45.528849,2.927035,17.178796,5.317422,8.830299,-7.027024,10.387567,5.206317,1.42355,-3.78256,4.603604,2.641842,0.202855,24.965782,43.290217,6.734156,35.964682,-5.101305,11.96596,6.318756,3.564506,-3.121566,9.252293,3.716803,0.321441,-3.006699,2.57137,1.595461,-0.059787,-9.482736,21.57712,12.519463,11.990099,-0.976428,15.958229,6.587086,6.696878,-10.170778,8.323027,5.867878,-0.753894,-5.296361,6.347565,3.600863,0.28081,-185.622205,242.748222,177.85406,41.659451,-94.72741,81.489408,75.468692,-0.133978,-38.16041,33.666666,26.884931,2.968195,-18.351724,23.228842,11.583364,0.009106,18.45827,42.677411,9.273363,32.190743,1.343568,12.384726,4.428899,4.952449,-5.715037,8.154639,4.419234,0.73944,-3.019337,5.593566,2.217683,0.1423,1
25.00748,65.654993,14.386529,44.667456,-8.382075,15.271104,8.400016,3.897466,-9.443243,6.618225,4.335769,0.703546,-7.033888,7.155654,3.879594,0.455265,5.419775,38.054899,11.950832,19.507717,-1.474206,11.733468,5.989814,4.578838,-2.671244,7.062998,3.034273,0.591153,-2.522096,4.080895,2.270936,0.272326,6.667545,33.551836,9.816553,20.830326,0.553225,9.093193,3.526257,4.906755,-5.161917,8.316564,4.52468,1.177566,-3.03232,3.826004,2.025461,0.273605,-22.001248,4.670577,9.536243,-7.251893,-6.911505,15.271106,9.588607,3.518553,-10.42267,6.466555,4.914389,0.001345,-3.792259,5.304131,2.561421,0.008729,-104.888105,214.296768,114.020556,63.408588,-36.208508,82.496972,46.053552,14.933777,-36.770414,27.178152,19.844778,2.9834,-24.962084,18.645143,12.168965,1.676556,1.050289,25.25696,8.831105,11.226548,-4.416597,9.810345,5.236013,3.120035,-4.838294,5.806807,3.643314,1.463461,-6.056458,6.099963,2.753175,0.169291,1
