@relation Sub1_A_32_ERT

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute class {0,1}

@data
4.916720260000000167e+02,4.734662050000000022e+02,-6.399399590000000444e+02,7.639478319999999485e+02,5.881271120000000110e+02,1.163756730999999945e+03,5.298092759999999544e+02,-5.027372799999999842e+01,4.975585590000000025e+02,-3.223962499999999665e+01,2.054824700000000121e+03,4.975479889999999727e+02,1
3.740209999999999813e+00,5.034178999999999959e+00,-3.520889910000000214e+02,-1.526637939999999958e+02,7.130229900000000498e+01,1.029270999999999958e+01,2.289779199999999904e+01,-3.904049299999999789e+01,3.120072599999999952e+01,-1.184314600000000084e+01,3.189382399999999862e+01,1.157498099999999930e+01,1
2.493373000000000062e+00,3.958324000000000176e+00,-5.230384139999999888e+02,-2.308112649999999917e+02,1.137562590000000000e+02,2.220397000000000176e+00,1.317662600000000062e+01,-6.100530400000000242e+01,2.715085300000000146e+01,-4.187523800000000307e+01,2.510896100000000075e+01,1.439872500000000066e+01,1
1.865409000000000095e+00,2.154478000000000115e+00,-1.712828419999999880e+02,1.933013449999999978e+02,1.434350890000000049e+02,2.164203699999999841e+01,4.494253400000000198e+01,-4.810891900000000021e+01,2.866467199999999949e+01,-1.990633100000000155e+01,1.281785400000000053e+01,1.065135800000000010e+01,1
3.226459000000000188e+00,1.670101999999999975e+00,-1.092144739999999956e+02,2.164293179999999950e+02,1.245439669999999950e+02,6.461919399999999314e+01,2.904699799999999854e+01,-2.927263999999999911e+01,2.179308699999999988e+01,-1.656730900000000162e+01,1.775153600000000154e+01,1.000356799999999957e+01,1
1.870204999999999895e+00,2.955058000000000185e+00,1.389351399999999970e+01,2.035059660000000008e+02,7.632928099999999461e+01,1.340098899999999915e+01,1.284628400000000070e+01,-3.232433699999999988e+01,1.874592099999999917e+01,-1.368925699999999956e+01,1.591595799999999983e+01,7.995161000000000406e+00,1
2.616191999999999851e+00,2.168480999999999881e+00,1.569781979999999919e+02,2.685745679999999993e+02,4.707878000000000185e+01,4.598503199999999680e+01,3.593621100000000013e+01,-2.365443700000000149e+01,1.457979699999999923e+01,-1.143763500000000022e+01,1.461226100000000017e+01,6.384046999999999805e+00,1
2.691447000000000145e+00,5.282511000000000401e+00,8.873504599999999698e+01,3.892291030000000092e+02,1.084329720000000066e+02,5.267381000000000313e+01,4.597261999999999915e+01,-2.452010200000000140e+01,3.052469699999999975e+01,-2.736076500000000067e+01,2.430816000000000088e+01,1.278549600000000019e+01,1
2.641842000000000024e+00,3.716803000000000079e+00,-1.856222050000000081e+02,2.427482219999999984e+02,1.778540600000000040e+02,8.148940799999999740e+01,7.546869200000000433e+01,-3.816040999999999883e+01,2.688493100000000169e+01,-1.835172400000000081e+01,2.322884200000000021e+01,1.158336399999999955e+01,1
2.270935999999999844e+00,4.524680000000000035e+00,-1.048881049999999959e+02,2.142967679999999859e+02,1.140205559999999991e+02,8.249697199999999953e+01,4.605355200000000337e+01,-3.677041400000000237e+01,1.984477800000000158e+01,-2.496208400000000083e+01,1.864514300000000091e+01,1.216896500000000003e+01,1
