@relation Sub1_A_64

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute a53 numeric
@attribute a54 numeric
@attribute a55 numeric
@attribute a56 numeric
@attribute a57 numeric
@attribute a58 numeric
@attribute a59 numeric
@attribute a60 numeric
@attribute a61 numeric
@attribute a62 numeric
@attribute a63 numeric
@attribute a64 numeric
@attribute a65 numeric
@attribute a66 numeric
@attribute a67 numeric
@attribute a68 numeric
@attribute a69 numeric
@attribute a70 numeric
@attribute a71 numeric
@attribute a72 numeric
@attribute a73 numeric
@attribute a74 numeric
@attribute a75 numeric
@attribute a76 numeric
@attribute a77 numeric
@attribute a78 numeric
@attribute a79 numeric
@attribute a80 numeric
@attribute a81 numeric
@attribute a82 numeric
@attribute a83 numeric
@attribute a84 numeric
@attribute a85 numeric
@attribute a86 numeric
@attribute a87 numeric
@attribute a88 numeric
@attribute a89 numeric
@attribute a90 numeric
@attribute a91 numeric
@attribute a92 numeric
@attribute a93 numeric
@attribute a94 numeric
@attribute a95 numeric
@attribute a96 numeric
@attribute a97 numeric
@attribute a98 numeric
@attribute a99 numeric
@attribute a100 numeric
@attribute a101 numeric
@attribute a102 numeric
@attribute a103 numeric
@attribute a104 numeric
@attribute a105 numeric
@attribute a106 numeric
@attribute a107 numeric
@attribute a108 numeric
@attribute a109 numeric
@attribute a110 numeric
@attribute a111 numeric
@attribute a112 numeric
@attribute a113 numeric
@attribute a114 numeric
@attribute a115 numeric
@attribute a116 numeric
@attribute a117 numeric
@attribute a118 numeric
@attribute a119 numeric
@attribute a120 numeric
@attribute class {0,1}

@data
58.99885,746.853886,271.686875,284.764143,-34.842369,703.162709,310.966917,165.159326,-28.698508,993.5669,330.110197,120.819203,-11.25984,1434.69015,347.101438,90.65738,-6.782647,2023.920868,352.289354,62.545187,36.433554,742.887096,280.689806,264.789007,-32.421979,707.44012,313.25506,165.194283,-19.226926,1008.018354,335.034245,121.903535,-11.505395,1435.079178,347.872507,87.99707,-6.9636,2030.520225,353.427956,62.800475,32.204822,739.828355,288.931383,241.597665,-23.150043,717.534542,311.950029,178.259541,-13.166652,1013.893344,336.3701,124.199369,-5.843376,1431.706361,346.496828,89.819396,-7.044307,2031.032801,353.453845,63.156382,-9.433661,698.048196,290.319336,197.053637,-23.437754,736.00293,319.713716,183.44889,-23.648558,1020.381407,338.763087,124.469585,-9.160762,1457.803611,352.803354,91.66045,-8.600589,2048.027161,356.410665,63.695344,-791.964892,89.090903,311.553016,-350.214888,-113.046877,991.294481,437.33349,250.306111,-162.658821,1163.756731,398.232903,119.947279,-50.273728,1504.263228,364.970107,97.136825,-32.239625,2054.8247,357.666026,65.239864,14.86068,725.52513,292.77387,220.53146,-15.452043,722.349179,315.979213,175.146133,-14.424136,1013.64268,335.963967,124.91961,-7.528556,1447.421461,350.322971,90.707417,-5.047671,2048.775825,356.544039,63.672042,1
93.395665,161.67662,25.174522,124.445829,-11.22474,27.062093,17.253414,9.389597,-23.190111,14.204146,12.378327,0.774452,-10.572517,14.120154,6.799576,1.654783,-6.989471,5.616466,3.063961,0.196927,60.733009,134.362487,26.491367,93.147472,0.508093,33.050833,14.587386,14.921101,-14.581992,11.551312,8.088375,0.723454,-6.679439,11.996356,4.650189,0.553751,-5.262209,5.897658,2.29275,0.26233,86.643939,100.96008,6.204318,92.97329,0.903557,18.381852,7.029057,7.90371,-7.147295,3.773672,3.20132,-2.573049,-5.028357,8.579299,3.462501,0.774002,-3.49644,3.36496,1.980141,-0.022753,42.03597,76.933472,13.801444,65.422514,-1.807501,4.617463,2.742215,0.996993,-14.786018,14.120623,8.861382,-0.729438,-12.242227,18.867633,7.137726,-0.205096,-7.306364,6.630559,3.284527,-0.018063,-706.602747,118.952949,308.987496,-325.808195,-167.445384,-20.509341,67.371687,-93.864108,-102.295376,21.642037,37.540292,-27.798128,-61.005304,37.608509,27.981424,-8.66543,-41.875238,25.108961,12.717021,-2.599679,34.284958,66.667253,12.684847,45.674911,-8.839546,12.092357,8.362446,2.447241,-20.320482,6.153194,8.144863,-0.635395,-3.689153,10.34353,4.241979,1.086182,-4.771746,3.555612,1.945246,0.118675,1
63.415069,97.61855,12.121753,81.354738,-8.196908,9.817179,6.489219,-0.042967,-12.713704,15.885663,9.738013,2.727525,-7.705988,5.891035,4.284007,-0.344882,-6.040148,6.652299,2.695559,0.095857,41.22024,69.97346,11.715301,58.93498,-7.320056,12.052202,6.875437,2.132926,-6.034934,20.235414,8.705021,2.514189,-5.970208,5.862567,3.700179,0.147576,-5.562628,6.343841,2.638749,0.08036,61.976268,78.835083,6.683045,71.576102,-3.412672,7.438259,3.978143,3.001512,-2.987049,19.740771,7.52947,3.542754,-3.457451,5.191315,2.558696,0.621767,-3.760097,3.329281,1.652904,0.104908,26.767192,47.419597,7.58626,35.289514,-5.997506,13.255627,7.146029,4.910886,-11.916974,14.707615,8.370011,0.808147,-6.540339,5.671735,3.543159,0.081333,-4.539874,3.578754,1.847816,0.016481,29.341311,256.548088,91.693709,170.656871,-129.998847,183.793901,115.985143,15.653547,-18.062417,64.619194,25.154763,13.73079,-32.324337,43.756488,20.328132,1.289204,-16.567309,17.751536,9.327287,0.173461,22.526534,40.357683,6.579009,33.027337,-1.595991,0.765309,0.995052,-0.551349,-5.38307,7.970743,4.073943,2.229701,-8.513586,6.892762,3.398838,0.019317,-2.995947,3.065278,1.380013,-0.072119,1
84.292281,107.217719,9.65937,93.804891,-14.890669,5.408507,7.546138,-6.999071,-16.587151,4.368873,6.250413,-2.927118,-9.608628,11.680477,5.949951,1.079575,-5.986462,7.666605,2.971249,-0.030068,57.799154,76.535792,8.018558,65.579846,-10.939484,5.152956,6.702405,-6.426567,-8.347261,8.976166,5.273567,-2.305962,-11.989104,12.624431,5.783469,0.971252,-5.033371,5.105939,2.663106,0.021637,43.464674,65.813109,8.040186,53.820744,-9.803743,4.06809,5.445201,-3.113575,-13.173988,7.401192,6.460732,-1.376315,-5.653268,10.476459,4.175483,1.268981,-5.023004,4.089432,2.05781,0.021451,29.315538,48.912494,7.029687,39.139838,-5.061159,0.647932,2.137592,-2.888236,-10.110215,7.17944,5.592637,-2.677762,-5.654215,12.057483,4.329697,2.146801,-3.284838,5.090895,2.216512,0.003351,293.913578,337.971691,19.065091,314.944704,-50.393282,212.481386,95.380569,67.187694,-48.447138,52.67381,41.33951,4.520823,-24.520102,80.073736,24.781892,3.782222,-27.360765,24.30816,10.133057,0.494896,29.125713,47.322728,7.368663,37.666582,-10.577549,8.92524,7.518664,-3.164567,-9.52726,2.73727,4.153999,-1.93938,-7.083098,9.774187,4.053576,-0.350045,-4.015965,5.085328,2.240989,-0.021428,1
48.862168,110.420705,22.043134,80.872292,-27.526269,15.373704,18.185349,-3.054895,-8.382075,21.421639,8.498809,6.263699,-9.443243,10.600894,5.441242,1.321174,-7.033888,7.155654,3.558558,0.293391,13.877316,74.643569,22.025791,45.987797,-12.67419,12.518917,9.567998,0.650958,-1.474206,17.178796,6.049393,6.704568,-7.027024,10.387567,4.281296,1.007352,-3.78256,4.603604,2.463624,0.23759,17.608342,57.292046,14.33221,40.160135,-9.124488,8.17901,6.754389,2.281208,-5.101305,11.96596,5.160523,4.23563,-5.161917,9.252293,4.162561,0.749503,-3.03232,3.826004,1.830787,0.106909,-19.822878,28.84863,17.36672,3.350418,-18.475107,11.291586,11.447697,-0.388945,-6.911505,15.958229,8.378006,5.107715,-10.42267,8.323027,5.42533,-0.376275,-5.296361,6.347565,3.127628,0.144769,-184.855993,302.686715,194.851047,74.294323,-77.653447,111.372706,72.667655,40.270931,-94.72741,82.496972,62.968134,7.3999,-38.16041,33.666666,23.62853,2.975797,-24.962084,23.228842,11.908993,0.842831,6.303777,50.918654,16.736711,30.700661,-14.026581,10.26904,9.961461,-2.093855,-4.416597,12.384726,4.935071,4.036242,-5.715037,8.154639,4.066047,1.10145,-6.056458,6.099963,2.499846,0.155795,1
54.862771,79.008645,9.205555,63.820429,-8.12166,11.577973,7.795006,-0.471455,-10.701592,4.999808,5.405486,-2.570966,-9.045527,7.521953,4.262874,-0.402965,-6.020096,6.378458,2.876669,-0.106207,42.784957,67.237907,10.422335,49.190785,-6.387419,7.264638,5.373728,-0.273962,-6.830678,1.515233,3.252468,-2.556267,-12.649886,4.047084,3.881224,-0.833924,-6.537729,7.134403,2.715684,-0.116352,27.059092,53.411303,10.251555,40.70965,-4.140985,14.147835,7.318019,1.77116,-8.307017,7.088609,4.737057,-1.364456,-12.29469,7.192418,5.063089,-0.134643,-4.287351,3.315539,1.88008,-0.058929,-2.903877,28.078918,13.388079,10.856671,-12.85994,5.876434,6.699804,-4.489401,-7.280959,8.555854,5.053902,-1.749786,-4.83836,9.181451,3.859222,1.385044,-4.285055,4.32559,2.189911,0.070802,5.330833,290.36573,112.341022,155.410696,-65.567908,52.272471,44.791634,3.818893,-59.878028,69.933453,37.346245,-7.83158,-35.455233,25.03195,19.326324,-7.81162,-23.758552,24.982086,10.112266,-1.427821,9.193537,14.947583,2.060981,12.391235,-2.910927,2.440319,2.040733,0.525428,-8.774239,2.953075,3.48399,-1.45155,-3.208538,6.149379,2.369602,0.674403,-3.265297,3.554611,1.524362,0.071887,1
16.910477,55.895133,18.274913,36.45595,-1.042952,12.243817,4.919505,4.323444,-9.521207,8.021871,5.505654,-0.932952,-12.228918,8.079861,5.021252,-1.250897,-4.552548,4.822546,2.643771,0.072705,5.037985,42.915807,14.93083,26.806617,-8.234095,6.792399,5.520459,0.756754,-6.118885,2.875524,2.965711,-2.29247,-6.602309,8.086857,4.148814,-0.281059,-4.79853,5.077977,2.633657,0.050226,-3.495049,27.514657,13.465359,13.486223,1.027697,5.202541,1.697371,2.329437,-6.538447,4.998063,3.917752,-1.695191,-9.458284,6.67264,4.376688,-0.912116,-3.038536,4.056535,1.671401,0.041003,-29.005537,0.578301,12.003691,-19.020452,-6.517324,16.168948,8.648696,3.351173,-12.355237,5.683426,5.102012,-1.791907,-6.462734,7.844983,3.788812,0.557434,-5.302799,5.335769,2.34592,0.010584,410.298019,1240.210091,304.792296,869.233151,-255.368032,99.327587,138.895396,-21.875878,-146.68085,75.352061,64.343406,-9.67849,-69.065839,30.528328,28.03052,-3.152418,-24.886228,13.520947,9.957327,-1.551288,-12.23499,7.273503,8.118943,-1.743323,-0.433542,12.823573,5.070672,4.661875,-8.071473,2.193926,3.286392,-2.085564,-4.473007,5.311377,2.788204,0.029818,-4.306472,4.039817,1.652306,0.054202,1
1.533058,30.595656,12.342747,18.103608,-5.450073,3.453776,3.494418,-1.984926,-6.29106,6.491348,4.471918,0.202817,-11.422954,10.224491,6.272847,0.572142,-5.562129,6.079467,2.438664,0.012533,7.680884,32.601351,9.142266,20.538103,-7.025624,0.564941,2.984294,-3.763015,-5.086505,4.440662,3.355647,-0.355109,-10.020064,10.820714,6.083804,0.77834,-6.577222,5.830644,2.665016,0.045867,6.562492,27.382698,7.476609,17.483361,-13.328807,2.279857,5.999905,-3.917871,-5.055409,4.360076,3.424256,-1.746394,-8.211545,8.307924,5.201825,0.760953,-5.561026,4.821455,2.365247,-0.043267,-16.678206,48.654053,23.140657,16.945678,-21.487839,4.908493,11.507122,-10.275025,-8.489758,16.842422,8.056979,0.635388,-8.062839,9.616646,4.969876,-0.995236,-4.575819,4.53989,2.451408,-0.209887,625.580317,742.00451,42.746412,694.352498,-139.873362,76.205292,79.125683,-12.464733,-95.079748,82.103215,53.098239,7.256817,-87.691512,64.72106,31.018778,2.834973,-40.3859,24.684261,11.826001,1.073984,-31.241294,-6.023471,10.215212,-14.610024,-11.038301,7.133081,7.518991,-2.727707,-5.645945,5.580312,4.182744,-0.840498,-5.774608,8.411409,3.810946,1.136336,-5.072853,5.315873,2.656554,-0.120918,1
-25.927896,39.680511,23.917803,6.612987,-10.209097,13.061445,9.843723,-3.977602,-16.319438,22.723499,11.212387,-2.46791,-3.938688,9.031649,4.015684,1.510828,-3.816898,6.32759,2.591522,0.020415,-6.587677,37.292082,18.110411,15.645805,-6.777822,14.174881,7.9359,0.864854,-12.792156,15.189379,8.38381,-2.76411,-6.862659,6.968942,3.624827,0.543615,-4.275231,4.328798,2.250884,-0.020847,-14.990624,25.42641,15.096607,4.263946,-6.361299,13.718835,7.667316,0.955203,-9.739799,13.371077,6.271668,-1.356118,-7.973746,7.320106,3.569361,0.351857,-5.048475,5.592062,2.347121,0.042519,-7.876666,15.110572,8.703294,1.016826,-8.111841,8.180842,6.368604,1.072584,-8.091032,19.679355,8.290243,-0.230724,-10.499988,9.620943,4.7839,0.528172,-4.576412,4.040869,2.296282,0.008623,-405.113297,-77.524514,133.849971,-285.15301,-133.43506,71.829205,72.582105,-31.235177,-83.761267,120.042879,59.325461,9.356263,-42.553993,50.105479,30.73608,-0.602853,-25.168026,36.105084,13.438018,0.760338,-33.203826,8.536351,15.522573,-13.820219,-5.241723,3.595229,3.703069,-1.61197,-8.558256,13.314734,6.681213,-2.40482,-8.522532,6.451515,3.46592,0.161765,-3.800422,3.546268,1.898624,-0.017512,1
-38.84907,-2.113949,13.911651,-15.509195,-4.541385,10.548846,5.581427,3.009269,-15.440227,10.985544,7.442777,0.784033,-9.653336,6.921128,4.565741,-1.989363,-5.588631,5.322281,2.574164,-0.129437,-26.70863,6.441453,12.163573,-7.031272,-9.818158,11.737284,7.954831,3.228958,-12.494925,15.391557,7.492514,1.151281,-9.8289,6.981694,4.496265,-1.18911,-4.827186,5.822829,2.49359,-0.028639,-27.827715,-4.841428,8.630467,-13.905311,-10.538947,10.996955,7.616999,0.019437,-12.131794,15.601084,8.037255,0.316361,-6.104791,4.991387,3.083407,-0.553,-6.098494,3.788722,2.323368,-0.080839,-13.506143,-0.764724,5.15545,-4.651873,-9.149804,18.720375,10.890421,0.563547,-13.187277,12.657557,8.009407,-1.033368,-14.538888,5.191895,4.396319,-1.374303,-5.04914,3.549344,1.9504,-0.082334,-751.189875,560.750674,485.001757,7.938951,-328.233138,236.721171,205.949687,4.28913,-184.111893,108.480551,89.585577,6.208486,-59.171331,66.629872,34.4015,-1.493304,-46.545087,29.687099,15.455,0.567359,-30.526157,-12.83395,6.600206,-21.559777,-5.269518,3.35206,3.095608,-1.041216,-7.425329,4.960894,3.722044,-0.313234,-5.396359,3.007491,2.382561,-0.669626,-5.072832,3.787273,1.808844,-0.078268,1
