@relation Sub1_B_32

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute a53 numeric
@attribute a54 numeric
@attribute a55 numeric
@attribute a56 numeric
@attribute a57 numeric
@attribute a58 numeric
@attribute a59 numeric
@attribute a60 numeric
@attribute a61 numeric
@attribute a62 numeric
@attribute a63 numeric
@attribute a64 numeric
@attribute a65 numeric
@attribute a66 numeric
@attribute a67 numeric
@attribute a68 numeric
@attribute a69 numeric
@attribute a70 numeric
@attribute a71 numeric
@attribute a72 numeric
@attribute a73 numeric
@attribute a74 numeric
@attribute a75 numeric
@attribute a76 numeric
@attribute a77 numeric
@attribute a78 numeric
@attribute a79 numeric
@attribute a80 numeric
@attribute a81 numeric
@attribute a82 numeric
@attribute a83 numeric
@attribute a84 numeric
@attribute a85 numeric
@attribute a86 numeric
@attribute a87 numeric
@attribute a88 numeric
@attribute a89 numeric
@attribute a90 numeric
@attribute a91 numeric
@attribute a92 numeric
@attribute a93 numeric
@attribute a94 numeric
@attribute a95 numeric
@attribute a96 numeric
@attribute class {0,1}

@data
14.614688,1035.093685,438.948417,274.878719,-11.259438,1022.983857,443.977496,254.067806,-7.813378,1443.198082,477.962988,178.660407,-6.048878,2041.445645,494.13358,127.703615,-0.349251,1028.577845,443.498402,260.434533,-2.460753,1023.25346,443.32364,255.398031,-3.213544,1455.523528,481.831956,180.721941,-2.53583,2052.093346,496.718343,128.32266,-18.27959,1008.458196,442.050637,242.87708,-5.453991,1029.038184,446.196453,256.246276,-4.686166,1460.305294,483.464971,181.185003,-2.296388,2058.416967,498.350443,128.321215,58.693388,1065.928929,434.450106,313.451133,-6.499232,1004.012307,435.800653,249.197448,-7.353689,1436.597772,475.225844,179.304079,-5.027604,2040.688301,494.037441,127.329828,42.183405,1056.583369,436.272173,301.08481,-8.293203,1016.866738,441.587883,252.044772,-8.251708,1433.031561,474.206577,178.439225,-5.527791,2036.888181,493.081951,127.23856,13.181044,1043.882488,444.606349,273.832285,-8.513796,1029.702438,447.566773,254.526685,-10.181614,1460.939818,484.044377,180.326876,-7.315473,2061.239243,498.93903,128.889735,0
26.191117,35.330285,3.305138,31.04897,-4.225875,1.878651,2.405009,-0.114145,-6.906193,3.322152,3.280193,-1.725155,-4.026734,4.589683,1.956266,-0.207018,2.697209,11.877503,3.412975,8.325412,-1.579389,7.530371,3.295832,2.622999,-4.112718,6.117586,2.928592,0.179628,-4.299031,5.082242,2.731941,-0.039343,-7.386568,10.357677,6.548041,3.195845,-3.203173,4.948397,2.972633,1.315401,-5.200163,2.850186,2.480725,0.07541,-1.766746,2.037166,1.069698,0.145578,35.714313,52.539212,6.372143,45.681846,1.018554,10.851378,4.372837,5.789984,-4.530349,3.857836,2.707042,-0.500275,-4.508072,3.595606,2.377263,0.171265,33.720251,50.201318,6.281255,43.436487,-1.839333,13.050123,5.98218,3.602373,-4.039103,7.793359,3.718865,-0.127493,-4.766083,3.081,2.393305,0.026647,11.781523,20.76529,3.633845,17.366631,-3.676951,5.610019,4.020797,1.061072,-4.457592,4.874032,3.174837,0.697386,-2.518555,3.822969,1.675698,0.032802,0
19.647261,37.172362,6.893165,26.305228,-4.411487,6.542609,4.354627,-0.334368,-4.949488,6.907374,3.760837,0.273445,-2.260893,3.313412,1.391417,0.073198,-12.783576,-0.756269,4.416722,-6.242798,-4.827189,6.553271,4.148726,0.018799,-8.418328,8.773553,5.340482,-1.449033,-2.023498,3.024853,1.296825,0.025526,-20.76873,-9.432126,4.731227,-13.883788,-1.673133,2.707987,1.590307,0.217072,-11.48836,4.280626,4.651981,-1.873967,-2.543178,3.018215,1.463411,0.144706,25.104823,44.483855,6.872359,35.302959,-4.112609,4.703518,3.571702,-1.336696,-5.29245,4.592681,2.990006,0.166044,-5.784106,4.60304,2.955673,0.14536,19.842418,35.4032,5.643057,26.632471,-6.437667,0.433087,2.585584,-3.434051,-7.449264,6.155723,4.719565,-0.489668,-5.29008,3.326322,2.163277,-0.084713,18.86508,21.256103,0.963064,19.791706,-1.126695,6.2291,2.729998,1.827415,-7.11446,2.025416,2.870577,-1.532542,-3.540566,4.336723,1.722758,-0.15475,0
11.120936,20.81834,3.813437,17.035464,-7.077624,12.537525,9.051685,2.20017,-4.970368,11.805925,4.628873,1.861406,-5.058047,6.346222,3.261722,0.000859,-19.325144,-8.473904,3.89424,-14.379454,-3.05006,5.856421,3.61385,0.772971,-3.242491,6.569257,3.872313,1.351519,-4.826563,4.042702,2.870493,0.049258,-46.66766,-36.002866,4.194476,-39.56227,-2.443755,1.881287,1.830793,0.720837,-2.795126,8.834694,3.162193,1.570694,-3.087218,3.742812,1.919672,0.103771,17.058507,33.671785,6.278289,23.505488,-2.260526,14.867018,6.675729,3.512289,-6.395092,9.311029,4.88239,-2.109288,-5.042626,6.10142,2.768891,-0.024459,10.756211,28.802202,6.971218,18.029887,-4.447106,15.635942,7.344311,4.481714,-12.301422,18.069863,8.913741,-0.243439,-5.551729,8.126939,3.343981,0.160123,7.973523,19.352818,4.163705,13.821697,-6.817267,9.824155,7.27493,2.391482,-4.411617,6.079855,3.851686,0.216211,-3.539354,3.806073,2.047015,0.076868,0
2.009826,17.227514,6.31447,6.352971,-6.808846,6.735461,4.800627,0.087015,-4.461596,4.716478,2.331075,-0.049204,-3.522685,7.100778,2.840949,-0.072937,-20.248588,-2.126564,7.004787,-13.595893,-3.573687,-0.036233,1.447572,-1.651183,-4.133541,8.783107,3.81739,-0.417765,-4.568872,5.559667,2.081649,-0.155785,-40.887247,0.292634,14.992031,-18.965112,-5.88071,-0.481972,1.932785,-3.464427,-4.796547,3.785313,2.224646,-1.10415,-5.104189,6.076946,2.768789,-0.445956,19.250406,37.058072,6.965687,25.560967,-2.066882,3.507048,2.183585,0.597887,-4.709874,11.201983,4.47186,0.65575,-6.551289,4.328431,2.455871,0.151667,6.939965,25.264299,6.535711,16.598934,-11.130368,2.327046,4.8581,-3.559848,-5.00336,7.787104,3.621663,-1.004695,-4.795868,5.335561,2.482496,-0.062881,11.614895,26.261985,5.53538,18.327066,-2.878271,3.147288,2.344432,-0.112371,-3.017459,1.662465,1.549855,-0.490647,-5.305396,4.313195,2.345675,-0.172007,0
0.982948,17.165334,5.964869,7.562515,-1.364598,5.637391,3.34011,2.018325,-3.755388,4.360063,2.537998,0.156278,-3.542633,3.297385,1.847342,0.133981,-11.500025,-5.299747,2.318243,-8.88927,-7.201763,7.28828,5.43485,0.772592,-5.01395,2.318054,2.76522,-1.165235,-5.329402,3.294964,1.976893,0.133753,-19.053336,-7.013406,4.626095,-11.602249,-2.05213,7.805787,4.331069,2.63239,-0.940809,6.438172,2.579855,1.534623,-2.047193,3.031618,1.281093,0.115259,12.325916,29.419675,6.298521,19.183796,-3.41738,3.800626,2.671469,0.943473,-2.056077,9.391255,3.500213,1.68961,-2.75791,2.546449,1.493137,0.002916,2.952441,23.3789,7.525894,14.635395,-9.357975,10.991495,7.478697,1.071503,-9.114553,8.997299,6.322846,0.047208,-6.561517,5.095926,3.248986,0.109268,7.273456,19.787738,4.891567,11.749942,-4.876222,2.551501,2.819938,-1.709738,-4.995653,4.172564,2.957892,-0.084108,-3.529332,4.561778,2.262646,0.153948,0
1.801557,19.422502,6.543415,11.413982,-7.161732,-0.395414,2.652023,-3.139491,-8.033925,3.041483,4.505474,-2.299099,-4.788758,2.790685,1.955892,-0.115473,-11.237099,-1.333013,4.277997,-6.701845,-6.326316,0.852434,3.07473,-2.770955,-9.885514,4.648209,5.161036,-1.944923,-5.078405,4.042403,2.606176,-0.038252,-22.431694,-11.988239,4.317813,-14.972219,-4.144252,0.158379,1.866007,-2.174547,-5.066401,3.725025,2.616909,0.427276,-2.051396,3.266145,1.118919,0.032869,10.809125,21.243227,4.055613,15.843432,-7.256823,0.321384,3.497074,-3.377125,-7.107581,5.424912,4.415088,-0.698232,-4.53121,3.554818,2.424737,0.189618,14.316567,22.315025,3.194804,17.842593,-5.355706,5.005603,4.238243,-2.277274,-9.635596,8.820562,6.306189,-0.378955,-4.054138,5.325797,2.805577,0.096626,9.764193,21.001083,4.176675,16.657794,-7.056124,1.291826,3.036349,-3.576294,-5.708892,3.64743,2.654242,-1.365096,-4.79307,3.552069,2.130455,-0.094473,0
0.203269,9.600587,3.912105,6.961221,-4.736844,4.552504,3.987697,0.449719,-5.012017,5.220551,4.53411,-0.227672,-4.55386,4.305347,2.249945,-0.009028,-24.073528,-10.105347,4.953585,-16.772275,-6.556147,5.88369,4.451092,-0.707179,-5.597108,2.272523,2.55315,-1.883101,-5.834552,3.262547,2.266929,-0.079724,-25.214996,-0.128867,9.801287,-15.868695,-9.391199,7.149724,5.966032,-0.166892,-5.333426,1.153143,2.483958,-1.766448,-7.089408,4.803074,2.83434,-0.221307,3.86295,12.611439,3.496987,8.008676,-6.018871,4.367021,4.672169,-0.790602,-6.206033,6.27172,3.683178,-1.607104,-7.843761,5.830048,3.134304,-0.102951,14.905816,23.254045,3.036516,18.375702,-11.879891,6.471723,6.4966,-2.397309,-7.465437,3.987194,3.825735,-2.718412,-8.582394,7.096703,3.487888,-0.203654,12.125559,18.565035,2.517575,15.769615,-2.657951,2.636824,1.969983,-0.22574,-4.778627,4.148214,2.97736,-0.336145,-4.040863,5.080286,2.263932,-0.032044,0
1.525891,10.628094,3.419622,6.727627,-7.258453,4.012565,4.314154,-0.251429,-3.209397,6.816473,3.118788,1.989335,-4.557268,3.298793,1.968168,0.069881,-16.229753,-5.184237,4.325864,-12.517704,-0.509663,5.167699,2.148986,1.561637,-6.664659,6.420374,3.625935,0.906044,-3.29588,3.282903,1.641823,0.146043,-12.598977,18.353358,11.86519,1.063018,-0.975729,3.064344,1.548287,1.084764,-0.93974,2.852108,1.33348,0.943717,-1.778376,2.046995,1.077829,0.127652,-0.97444,15.150722,6.547566,7.702798,-3.541621,8.489718,4.373289,1.677668,-3.183866,7.347492,3.178092,1.791477,-3.539142,2.802361,1.910388,0.054996,7.250274,26.328283,8.615676,16.29263,-7.408625,7.990603,5.928231,2.453716,-3.171411,15.984822,6.007771,2.798373,-4.014627,4.598741,2.426326,0.253431,9.792803,16.346121,2.564597,12.187783,-3.192213,0.746537,1.576003,-0.491631,-3.186975,7.209891,3.790886,2.698088,-2.762592,3.802159,1.810439,0.186071,0
-2.38157,4.084256,2.600406,1.224348,-5.194574,1.7357,2.606109,-1.903713,-5.908055,8.251247,4.699956,0.89577,-4.557047,4.815444,2.518973,-0.062145,-20.952817,-8.331847,4.579618,-14.950065,-9.165991,0.007252,3.552701,-3.134328,-4.695871,3.719733,3.060947,-0.603303,-5.065904,2.527346,2.029529,-0.283706,-19.033347,-11.544556,2.768736,-14.482042,-6.453922,4.028604,3.906427,-0.308425,-1.658894,4.234152,1.716859,0.316738,-2.811494,2.771916,1.792996,0.080792,-10.343601,-1.38294,3.290682,-6.642493,-12.159422,2.823882,5.810194,-2.305612,-7.195025,3.920513,3.291097,-0.223541,-5.075276,5.057693,2.172972,0.00934,8.554852,13.395782,1.899778,10.574989,-11.827115,2.859818,5.941786,-2.815175,-3.211185,8.950006,4.263227,1.971865,-6.327174,9.885978,3.603827,-0.100455,-0.815186,11.297972,4.87232,6.773484,-4.004709,-2.80715,0.584271,-3.399153,-1.61209,5.389797,2.112132,2.45261,-3.796689,4.559078,2.54523,-0.040861,0
