@relation Sub1_B_64_ERT

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute class {0,1}

@data
1.461468799999999924e+01,4.389484170000000063e+02,-3.492509999999999781e-01,1.028577845000000025e+03,2.604345329999999876e+02,2.428770800000000065e+02,4.834649709999999914e+02,-2.296387999999999874e+00,2.058416967000000113e+03,4.983504429999999843e+02,5.869338799999999878e+01,1.065928928999999926e+03,4.344501060000000052e+02,4.358006530000000112e+02,-7.353689000000000142e+00,1.436597772000000077e+03,4.218340500000000048e+01,1.056583368999999948e+03,4.362721730000000093e+02,3.010848100000000045e+02,1.318104399999999998e+01,1.043882487999999967e+03,2.738322850000000130e+02,0
2.619111699999999843e+01,3.305137999999999909e+00,2.697208999999999968e+00,1.187750300000000081e+01,8.325412000000000035e+00,3.195844999999999825e+00,2.480725000000000069e+00,-1.766745999999999928e+00,2.037166000000000032e+00,1.069698000000000038e+00,3.571431299999999709e+01,5.253921199999999914e+01,6.372143000000000335e+00,4.372836999999999641e+00,-4.530349000000000181e+00,3.857835999999999821e+00,3.372025099999999753e+01,5.020131800000000055e+01,6.281254999999999811e+00,4.343648699999999963e+01,1.178152299999999997e+01,2.076529000000000025e+01,1.736663100000000171e+01,0
1.964726100000000031e+01,6.893164999999999765e+00,-1.278357600000000005e+01,-7.562689999999999690e-01,-6.242797999999999625e+00,-1.388378799999999913e+01,4.651981000000000144e+00,-2.543178000000000161e+00,3.018215000000000092e+00,1.463411000000000017e+00,2.510482299999999967e+01,4.448385499999999837e+01,6.872359000000000329e+00,3.571702000000000155e+00,-5.292449999999999655e+00,4.592680999999999791e+00,1.984241799999999856e+01,3.540319999999999823e+01,5.643056999999999768e+00,2.663247099999999890e+01,1.886507999999999896e+01,2.125610299999999953e+01,1.979170600000000135e+01,0
1.112093600000000038e+01,3.813436999999999966e+00,-1.932514400000000165e+01,-8.473903999999999215e+00,-1.437945400000000085e+01,-3.956226999999999805e+01,3.162192999999999810e+00,-3.087218000000000018e+00,3.742811999999999806e+00,1.919672000000000045e+00,1.705850699999999875e+01,3.367178499999999985e+01,6.278289000000000009e+00,6.675728999999999580e+00,-6.395091999999999999e+00,9.311028999999999556e+00,1.075621100000000041e+01,2.880220200000000119e+01,6.971218000000000359e+00,1.802988699999999866e+01,7.973523000000000138e+00,1.935281799999999919e+01,1.382169700000000034e+01,0
2.009825999999999890e+00,6.314470000000000027e+00,-2.024858800000000159e+01,-2.126564000000000121e+00,-1.359589300000000023e+01,-1.896511200000000130e+01,2.224645999999999901e+00,-5.104188999999999865e+00,6.076946000000000403e+00,2.768788999999999945e+00,1.925040600000000168e+01,3.705807200000000279e+01,6.965686999999999962e+00,2.183584999999999887e+00,-4.709874000000000116e+00,1.120198300000000025e+01,6.939964999999999939e+00,2.526429900000000117e+01,6.535711000000000048e+00,1.659893399999999986e+01,1.161489500000000064e+01,2.626198499999999925e+01,1.832706599999999852e+01,0
9.829480000000000439e-01,5.964869000000000199e+00,-1.150002500000000083e+01,-5.299746999999999986e+00,-8.889269999999999783e+00,-1.160224900000000048e+01,2.579854999999999787e+00,-2.047193000000000040e+00,3.031617999999999924e+00,1.281093000000000037e+00,1.232591599999999943e+01,2.941967500000000157e+01,6.298521000000000036e+00,2.671469000000000094e+00,-2.056077000000000155e+00,9.391254999999999242e+00,2.952440999999999871e+00,2.337890000000000157e+01,7.525894000000000084e+00,1.463539500000000082e+01,7.273456000000000365e+00,1.978773800000000094e+01,1.174994200000000077e+01,0
1.801557000000000075e+00,6.543415000000000425e+00,-1.123709900000000061e+01,-1.333013000000000003e+00,-6.701844999999999608e+00,-1.497221900000000083e+01,2.616909000000000152e+00,-2.051395999999999997e+00,3.266144999999999854e+00,1.118918999999999997e+00,1.080912499999999987e+01,2.124322700000000097e+01,4.055613000000000135e+00,3.497074000000000016e+00,-7.107580999999999705e+00,5.424911999999999956e+00,1.431656699999999915e+01,2.231502499999999856e+01,3.194803999999999977e+00,1.784259300000000081e+01,9.764193000000000566e+00,2.100108300000000128e+01,1.665779399999999910e+01,0
2.032690000000000052e-01,3.912104999999999944e+00,-2.407352799999999959e+01,-1.010534700000000008e+01,-1.677227500000000049e+01,-1.586869500000000066e+01,2.483957999999999888e+00,-7.089407999999999710e+00,4.803073999999999621e+00,2.834340000000000082e+00,3.862950000000000106e+00,1.261143900000000073e+01,3.496986999999999846e+00,4.672169000000000239e+00,-6.206032999999999689e+00,6.271720000000000184e+00,1.490581599999999973e+01,2.325404500000000141e+01,3.036516000000000215e+00,1.837570200000000042e+01,1.212555900000000086e+01,1.856503500000000173e+01,1.576961499999999994e+01,0
1.525891000000000108e+00,3.419621999999999939e+00,-1.622975299999999876e+01,-5.184237000000000428e+00,-1.251770400000000016e+01,1.063018000000000018e+00,1.333479999999999999e+00,-1.778375999999999957e+00,2.046994999999999898e+00,1.077828999999999926e+00,-9.744399999999999729e-01,1.515072200000000002e+01,6.547565999999999775e+00,4.373288999999999760e+00,-3.183866000000000085e+00,7.347491999999999912e+00,7.250274000000000107e+00,2.632828299999999899e+01,8.615676000000000556e+00,1.629262999999999906e+01,9.792802999999999258e+00,1.634612100000000012e+01,1.218778299999999959e+01,0
-2.381569999999999965e+00,2.600405999999999995e+00,-2.095281699999999958e+01,-8.331846999999999781e+00,-1.495006500000000038e+01,-1.448204199999999986e+01,1.716858999999999913e+00,-2.811494000000000160e+00,2.771916000000000047e+00,1.792996000000000034e+00,-1.034360099999999960e+01,-1.382940000000000058e+00,3.290681999999999885e+00,5.810194000000000081e+00,-7.195025000000000226e+00,3.920513000000000137e+00,8.554852000000000345e+00,1.339578200000000052e+01,1.899777999999999967e+00,1.057498900000000042e+01,-8.151859999999999662e-01,1.129797199999999968e+01,6.773483999999999838e+00,0
-1.952278199999999941e+01,1.331184400000000068e+01,-2.812926500000000019e+01,6.512910999999999895e+00,-1.145791999999999966e+01,-3.969043000000000099e+00,3.473751000000000033e+00,-3.550158000000000147e+00,3.297130999999999812e+00,1.982132000000000005e+00,-1.140144500000000072e+01,8.301925000000000665e+00,7.084833999999999854e+00,2.905092999999999925e+00,-1.131737599999999944e+01,5.908865999999999730e+00,-2.710589999999999944e-01,2.800183699999999831e+01,1.037862699999999982e+01,1.256332899999999952e+01,-7.258645999999999709e+00,8.807278000000000162e+00,-1.160835999999999979e+00,0
-1.171293099999999932e+01,8.525703999999999283e+00,-8.436642000000000863e+00,1.710066000000000086e+00,-3.826664000000000065e+00,1.312214200000000019e+01,4.645883999999999681e+00,-3.528074999999999850e+00,2.795701999999999909e+00,1.652284000000000086e+00,-4.994565999999999839e+00,1.480040400000000034e+01,7.145414999999999850e+00,2.217845000000000066e+00,-7.370662000000000269e+00,6.289614000000000260e+00,1.150620600000000060e+01,2.889934500000000028e+01,7.289484999999999992e+00,1.981705600000000089e+01,-1.007058999999999926e+01,3.974936000000000025e+00,-2.038762000000000185e+00,0
4.098490000000000189e-01,4.633877000000000024e+00,-3.538389000000000006e+00,4.395690000000000097e+00,-7.927389999999999715e-01,-1.818345000000000100e+00,3.147625999999999813e+00,-5.828273000000000259e+00,4.054071999999999676e+00,2.991190000000000015e+00,1.320421799999999912e+01,2.890529000000000082e+01,5.615637000000000434e+00,3.429440000000000044e+00,-7.786101999999999634e+00,7.417816000000000187e+00,1.496172999999999931e+01,3.117634800000000084e+01,6.595615999999999701e+00,2.621126500000000092e+01,-1.423990200000000073e+01,9.912499999999999645e-01,-9.299092999999999165e+00,0
-4.247500000000000164e-01,6.350969000000000086e+00,4.069135000000000169e+00,8.296151000000000053e+00,6.373943999999999832e+00,-3.380514699999999806e+01,4.294391000000000069e+00,-3.829696000000000211e+00,2.766084000000000209e+00,1.817506999999999984e+00,-1.864295000000000035e+00,1.748376100000000122e+01,7.180214999999999570e+00,3.795536999999999939e+00,-1.302262600000000070e+01,9.460468000000000544e+00,-1.331024999999999903e+00,1.946804500000000004e+01,8.577465999999999369e+00,1.348246600000000051e+01,-1.884676500000000132e+01,-5.398744999999999905e+00,-1.211441800000000057e+01,0
1.136075100000000049e+01,2.261979999999999880e+00,1.228433700000000073e+01,1.864530799999999999e+01,1.531166600000000066e+01,-1.225257000000000041e+01,3.099686000000000163e+00,-4.839142999999999972e+00,2.251329000000000136e+00,1.597367999999999899e+00,4.226912999999999698e+00,1.610087499999999849e+01,4.660041999999999796e+00,3.030718999999999941e+00,-6.758643000000000178e+00,2.908348999999999851e+00,5.737879999999999647e+00,1.765615800000000135e+01,4.646092000000000333e+00,1.280231400000000086e+01,-9.269365999999999772e+00,4.820237999999999801e+01,1.514153100000000052e+01,0
-1.705472000000000099e+00,8.222034000000000731e+00,5.527624999999999567e+00,2.348802500000000038e+01,1.544335000000000058e+01,5.669342000000000326e+00,2.309115999999999946e+00,-4.051483000000000168e+00,4.315239000000000047e+00,2.179842999999999975e+00,-1.614660999999999902e+00,2.341723899999999858e+01,9.904208000000000567e+00,4.474580999999999698e+00,-7.083099999999999952e+00,6.292154000000000025e+00,8.886326000000000391e+00,2.058502899999999869e+01,5.041027999999999842e+00,1.390368600000000043e+01,2.287301400000000129e+01,4.071503799999999984e+01,3.130210900000000152e+01,0
-1.106806399999999968e+01,7.438632000000000133e+00,-1.331070099999999989e+01,5.158966999999999636e+00,-7.930301000000000045e+00,-7.209274999999999878e+00,3.740968000000000071e+00,-3.783148000000000177e+00,2.801169999999999938e+00,1.713017000000000012e+00,-8.867440999999999462e+00,5.764268999999999643e+00,5.509773000000000032e+00,4.375945999999999891e+00,-6.992850999999999928e+00,4.685514999999999652e+00,-9.688224999999999199e+00,4.175627999999999673e+00,4.905813000000000201e+00,-2.843722999999999779e+00,-1.015983699999999956e+01,6.350327000000000055e+00,-7.927710000000000035e-01,0
1.273293800000000076e+01,2.208785999999999916e+00,-6.662195999999999785e+00,4.326471999999999873e+00,-3.119629000000000207e+00,-9.225288000000000821e+00,2.885988999999999916e+00,-2.289997000000000060e+00,2.276911000000000129e+00,1.575844999999999940e+00,3.391979999999999995e-01,1.427383599999999930e+01,5.243503999999999721e+00,5.190110999999999919e+00,-7.865847999999999729e+00,3.449399999999999800e+00,8.242338000000000164e+00,2.457696299999999923e+01,7.002280999999999977e+00,1.617820599999999942e+01,1.073825000000000029e+00,8.791589999999999350e+00,4.849406000000000105e+00,0
5.804935000000000400e+00,9.554603999999999431e+00,-1.333344300000000082e+01,1.222472400000000015e+01,7.933580000000000076e-01,-2.026486200000000082e+01,2.506423999999999985e+00,-2.542110999999999787e+00,2.523855999999999877e+00,1.439473999999999920e+00,-9.509646999999999295e+00,1.263271600000000028e+01,8.700710000000000832e+00,3.114040999999999837e+00,-8.271117999999999526e+00,5.350284000000000262e+00,-3.835469999999999935e+00,2.898573100000000125e+01,1.209451100000000068e+01,1.444829400000000064e+01,-2.808796000000000070e+00,1.008553200000000061e+01,4.560400999999999705e+00,0
6.456203999999999610e+00,6.535135000000000360e+00,-1.861979000000000051e+00,2.222441500000000048e+01,1.132831299999999963e+01,-2.425883999999999929e+00,5.321431999999999718e+00,-3.012488999999999972e+00,3.274074000000000151e+00,1.690885999999999889e+00,-1.939980000000000038e+00,2.039482000000000017e+00,1.593591999999999897e+00,1.988110000000000044e+00,-6.446932999999999581e+00,4.295355999999999952e+00,1.113658799999999971e+01,2.074871999999999872e+01,3.871354999999999880e+00,1.595794199999999918e+01,-1.037387200000000043e+01,7.988350999999999758e+00,1.851615999999999929e+00,0
