@relation Sub1_B_64

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute a53 numeric
@attribute a54 numeric
@attribute a55 numeric
@attribute a56 numeric
@attribute a57 numeric
@attribute a58 numeric
@attribute a59 numeric
@attribute a60 numeric
@attribute a61 numeric
@attribute a62 numeric
@attribute a63 numeric
@attribute a64 numeric
@attribute a65 numeric
@attribute a66 numeric
@attribute a67 numeric
@attribute a68 numeric
@attribute a69 numeric
@attribute a70 numeric
@attribute a71 numeric
@attribute a72 numeric
@attribute a73 numeric
@attribute a74 numeric
@attribute a75 numeric
@attribute a76 numeric
@attribute a77 numeric
@attribute a78 numeric
@attribute a79 numeric
@attribute a80 numeric
@attribute a81 numeric
@attribute a82 numeric
@attribute a83 numeric
@attribute a84 numeric
@attribute a85 numeric
@attribute a86 numeric
@attribute a87 numeric
@attribute a88 numeric
@attribute a89 numeric
@attribute a90 numeric
@attribute a91 numeric
@attribute a92 numeric
@attribute a93 numeric
@attribute a94 numeric
@attribute a95 numeric
@attribute a96 numeric
@attribute a97 numeric
@attribute a98 numeric
@attribute a99 numeric
@attribute a100 numeric
@attribute a101 numeric
@attribute a102 numeric
@attribute a103 numeric
@attribute a104 numeric
@attribute a105 numeric
@attribute a106 numeric
@attribute a107 numeric
@attribute a108 numeric
@attribute a109 numeric
@attribute a110 numeric
@attribute a111 numeric
@attribute a112 numeric
@attribute a113 numeric
@attribute a114 numeric
@attribute a115 numeric
@attribute a116 numeric
@attribute a117 numeric
@attribute a118 numeric
@attribute a119 numeric
@attribute a120 numeric
@attribute class {0,1}

@data
23.967799,753.506625,310.249768,216.323543,-1.265371,710.336902,306.370853,179.708352,-11.259438,1022.983857,338.693101,126.97683,-7.813378,1443.198082,349.80627,88.467626,-6.048878,2041.445645,355.212885,63.748298,3.509895,733.110202,313.560453,190.04198,-0.380056,721.518536,310.976418,182.908435,-2.460753,1023.25346,338.004675,129.010515,-4.112718,1455.523528,352.468704,90.450784,-4.299031,2052.093346,357.053902,64.141659,-13.201884,700.162007,303.89092,173.999834,-9.787931,726.013251,315.166275,180.265688,-5.453991,1029.038184,340.290308,128.780838,-5.200163,1460.305294,353.655817,90.630206,-2.296388,2058.416967,358.16812,64.233397,56.981687,799.789535,315.319408,253.945365,-3.779165,707.661613,305.759548,178.108012,-6.499232,1004.012307,331.334369,127.493716,-7.353689,1436.597772,347.858976,89.401902,-5.027604,2040.688301,355.079776,63.750546,57.424516,791.880159,316.555425,243.613345,-0.05994,702.354371,301.948685,179.398569,-8.293203,1016.866738,336.078457,127.823572,-8.251708,1433.031561,347.007741,89.155866,-5.527791,2036.888181,354.41993,63.632603,19.719443,754.795219,316.908453,205.908728,-3.016255,721.477554,311.823698,181.412073,-8.513796,1029.702438,340.921246,127.793879,-10.181614,1460.939818,353.866087,90.512131,-7.315473,2061.239243,358.639804,64.461268,0
19.378182,45.564135,9.436235,30.646498,0.636192,7.005523,2.540515,3.086345,-7.077624,12.537525,7.214836,0.932901,-4.970368,11.805925,4.291339,1.067426,-5.058047,6.346222,2.507737,0.037028,-24.636971,-5.647597,6.885706,-14.582134,-2.692911,6.069004,3.369777,3.001131,-4.827189,6.553271,3.908723,0.395885,-8.418328,8.773553,4.87017,-0.048757,-4.826563,4.042702,2.227304,0.037392,-60.202668,-13.426667,18.921058,-37.79207,0.087627,5.795369,2.274014,2.548097,-2.443755,2.707987,1.733172,0.468955,-11.48836,8.834694,4.334353,-0.151637,-3.087218,3.742812,1.706978,0.124238,26.160433,56.612335,10.817437,41.583852,2.036061,7.735929,2.257958,5.841324,-4.112609,14.867018,5.877021,1.087796,-6.395092,9.311029,4.205142,-0.971622,-5.784106,6.10142,2.865064,0.06045,16.920039,42.393504,9.21835,31.581056,-1.708459,7.674182,3.651897,4.373772,-6.437667,15.635942,6.780627,0.523832,-12.301422,18.069863,7.133,-0.366553,-5.551729,8.126939,2.81886,0.037705,14.462859,28.460127,5.554686,23.768265,-2.738215,3.186595,2.232005,-0.498045,-6.817267,9.824155,5.501662,2.109449,-7.11446,6.079855,3.507475,-0.658165,-3.540566,4.336723,1.895388,-0.038941,0
3.093809,15.667382,5.517573,9.839734,-4.332542,9.488278,5.859068,3.378079,-6.808846,6.735461,4.246607,1.05267,-4.461596,4.716478,2.438899,0.053537,-3.542633,7.100778,2.398445,0.030522,-24.14595,-11.879232,4.838516,-15.899411,-4.489878,11.301627,5.982951,2.512069,-7.201763,7.28828,4.157547,-0.439295,-5.01395,8.783107,3.353972,-0.7915,-5.329402,5.559667,2.035103,-0.011016,-44.698653,-8.942784,13.746427,-21.614388,-13.124647,9.35663,9.159961,0.631248,-5.88071,7.805787,4.532075,-0.416018,-4.796547,6.438172,2.746476,0.215237,-5.104189,6.076946,2.175417,-0.165348,24.741377,40.976086,5.902446,31.639325,-4.097061,12.087113,7.257489,4.584354,-3.41738,3.800626,2.445864,0.77068,-4.709874,11.201983,4.04867,1.17268,-6.551289,4.328431,2.033694,0.077292,17.700119,29.248756,4.556228,22.086006,-7.885526,14.443688,8.021708,4.021857,-11.130368,10.991495,6.717765,-1.244173,-9.114553,8.997299,5.179193,-0.478744,-6.561517,5.335561,2.892534,0.023193,14.098702,32.954196,7.03927,21.267657,-2.456633,8.848934,4.714944,2.101219,-4.876222,3.147288,2.713319,-0.911055,-4.995653,4.172564,2.370001,-0.287377,-5.305396,4.561778,2.31029,-0.00903,0
6.680866,24.20504,6.886666,12.99323,-3.262526,6.393401,4.063847,2.023206,-7.161732,4.552504,3.832503,-1.344886,-8.033925,5.220551,4.636963,-1.263386,-4.788758,4.305347,2.108723,-0.062251,-28.437496,-8.398237,7.900565,-16.59871,-4.710542,6.513072,4.579951,3.186089,-6.556147,5.88369,3.962056,-1.739067,-9.885514,4.648209,4.071657,-1.914012,-5.834552,4.042403,2.442538,-0.058988,-33.990878,-10.892568,8.491221,-21.80782,-10.710322,7.384638,6.546697,-0.387927,-9.391199,7.149724,4.532707,-1.170719,-5.333426,3.725025,2.777091,-0.669586,-7.089408,4.803074,2.158444,-0.094219,9.848375,24.419959,5.814755,16.865988,-4.385339,5.622501,4.179842,2.843618,-7.256823,4.367021,4.324566,-2.083864,-7.107581,6.27172,4.090955,-1.152668,-7.843761,5.830048,2.805888,0.043334,23.1491,28.825235,2.096029,25.610202,-4.060951,5.655763,3.851301,0.586046,-11.879891,6.471723,5.48524,-2.337291,-9.635596,8.820562,5.345128,-1.548683,-8.582394,7.096703,3.168731,-0.053514,19.397394,27.717961,3.143194,22.92964,-2.663933,5.58874,3.080498,2.192737,-7.056124,2.636824,3.058869,-1.901017,-5.708892,4.148214,2.866971,-0.85062,-4.79307,5.080286,2.198428,-0.063258,0
-1.736521,11.776263,4.869787,5.622895,-0.57651,5.094403,2.087454,2.350888,-7.258453,4.012565,3.658467,-1.077571,-5.908055,8.251247,4.025815,1.442553,-4.557268,4.815444,2.261374,0.003868,-26.58818,-14.22648,4.881344,-19.422646,-3.913976,6.894862,4.313463,-0.459024,-9.165991,5.167699,3.759379,-0.786346,-6.664659,6.420374,3.439176,0.151371,-5.065904,3.282903,1.858348,-0.068832,-23.195793,16.658008,15.470694,-9.488683,1.43914,9.29756,2.87252,4.656108,-6.453922,4.028604,3.051873,0.388169,-1.658894,4.234152,1.568809,0.630227,-2.811494,2.771916,1.479468,0.104222,-12.991768,19.755237,12.191475,0.749749,-1.671119,3.840268,2.643745,0.985622,-12.159422,8.489718,5.514403,-0.313972,-7.195025,7.347492,3.388343,0.783968,-5.075276,5.057693,2.046024,0.032168,10.95885,35.123667,9.607088,18.998276,-0.424567,2.110148,0.956297,0.986965,-11.827115,7.990603,6.493433,-0.18073,-3.211185,15.984822,5.225417,2.385119,-6.327174,9.885978,3.077112,0.076488,3.549757,20.210002,6.103776,13.40764,-0.369197,4.702605,2.014184,1.913363,-4.004709,0.746537,1.877765,-1.945392,-3.186975,7.209891,3.070997,2.575349,-3.796689,4.559078,2.211519,0.072605,0
-14.865058,11.710318,9.854748,-0.659454,-13.902433,12.744325,10.887217,-5.923497,-16.858148,5.160227,7.140348,-0.688964,-8.010606,9.454324,5.066244,0.481076,-5.075084,5.837681,2.928926,0.070762,-30.610415,-1.797476,11.636658,-10.807833,-11.008122,9.170373,7.425129,-2.924208,-10.560876,13.217053,6.418541,1.225235,-6.434819,7.622326,4.002491,-0.321526,-6.832399,7.847424,3.073061,0.206191,-8.715698,23.908275,12.852345,6.472219,-8.511172,4.760994,4.87036,-2.728298,-9.621939,3.282637,3.836133,-0.573546,-11.817558,5.90087,4.105309,0.317083,-3.550158,3.297131,1.827125,-0.098412,-2.888702,14.215124,6.851048,2.875596,-13.932387,2.534791,6.018909,-6.88611,-6.212928,4.678413,4.09216,-0.800252,-11.317376,6.289614,4.260548,-0.137275,-6.868531,10.114614,3.332694,-0.132534,10.241263,28.57104,7.401159,22.89639,-14.307381,10.624598,9.852124,-5.943001,-10.308417,6.305314,5.138887,0.351113,-19.154716,7.730063,6.526119,0.192417,-7.086195,8.361329,3.947754,-0.055384,-8.912969,5.629628,5.951857,-2.262457,-7.210629,1.352307,3.420401,-4.260157,-9.766984,6.022709,4.648601,0.253533,-4.987925,7.676492,3.663062,0.297678,-4.564372,5.061497,2.015962,0.022179,0
3.144716,15.637935,4.500676,9.019067,-10.349716,2.565103,5.04695,-4.027208,-7.392496,1.361486,2.86862,-3.416072,-7.337012,6.141856,3.71125,-0.098788,-7.590884,7.607161,3.685052,-0.096642,-4.121945,9.284659,5.497254,3.946508,-2.988952,4.336703,2.929503,-0.045518,-9.665991,5.13654,4.453438,-2.729081,-12.027348,7.894429,5.345222,-1.052983,-5.561533,4.055037,2.730885,-0.179297,-52.783955,9.257186,24.370444,-25.189613,-7.782575,17.666777,9.382723,2.471748,-7.154585,10.399592,6.486556,-0.093108,-4.002041,8.417853,3.771982,1.169171,-5.828273,4.054072,2.475243,0.164592,6.560331,35.581997,10.443225,22.318399,-9.196842,-3.268792,2.181202,-6.190649,-7.777276,3.113217,3.661801,-2.214674,-13.022626,9.460468,5.704229,-1.065062,-3.276223,3.057152,1.697559,-0.008303,11.834966,43.675324,11.357339,28.067706,-13.717319,-0.41469,5.573886,-6.166755,-12.332947,2.392257,4.169528,-2.719833,-15.392824,11.212176,6.640514,0.001543,-6.561578,6.614698,3.438054,0.011507,-18.608097,-8.417051,4.031946,-15.141639,-8.045254,9.81889,7.288573,-2.125386,-6.012677,10.153408,4.684583,-1.145958,-7.914515,6.912493,3.821952,-0.219317,-3.809508,5.813558,2.33628,-0.034206,0
2.021222,24.091405,8.566141,16.413377,2.140407,4.433123,0.852857,3.143585,-6.991323,3.946358,3.033097,0.35054,-7.132014,4.352033,3.21585,-0.507014,-3.784959,4.812795,2.193397,0.232945,11.310369,32.37002,7.934024,21.74708,-0.407931,3.493126,1.422766,1.193345,-7.11067,4.734519,3.569512,0.27315,-5.320848,8.118793,3.144539,-0.148289,-3.283131,3.833989,1.988388,0.149608,-37.624758,19.937262,20.919373,-4.655046,-12.682783,5.226548,7.211515,-4.506371,-15.439698,8.32543,7.207946,-0.746664,-3.680777,7.935477,3.533389,1.89148,-4.839143,4.315239,1.960069,-0.113985,4.085925,30.313584,9.345522,16.172922,-8.396159,6.369401,5.785357,-0.233628,-5.500557,8.254719,4.633018,1.472454,-7.0831,6.292154,4.507417,-0.362077,-4.280188,4.567961,2.028455,0.082393,12.767626,26.557937,5.26824,18.883994,-7.392058,4.26581,4.239546,-1.369868,-8.490719,6.268501,4.553043,-0.625786,-9.979224,6.681563,5.391594,-1.318216,-5.565404,5.070648,2.815105,0.147612,-8.495273,54.750061,25.155187,32.840612,-16.84647,4.613591,8.650219,-1.991209,-28.550746,5.621495,10.180167,-2.058659,-10.218206,5.12032,3.838657,0.39888,-7.034617,6.071875,2.56199,-0.056401,0
-8.5042,22.297572,13.506997,8.846137,-4.290479,11.638092,6.042363,3.868835,-5.79508,6.435389,3.652037,-0.101888,-9.335084,6.600255,3.31545,-1.225362,-6.306293,3.048302,2.315281,-0.270855,-17.838503,-0.816121,6.322206,-7.81348,-6.934677,11.887656,6.842152,1.131101,-3.537779,7.908372,3.437497,0.469637,-8.402228,4.663339,3.254288,-1.034273,-5.318223,3.809187,2.448448,-0.171587,-19.65905,-0.731858,6.956533,-11.62099,-6.070812,10.444976,6.724376,-0.550872,-2.737183,6.560579,2.858468,1.261571,-6.505093,6.285407,3.345781,-0.806283,-3.783148,2.80117,1.651927,-0.10298,-2.194274,15.544983,6.970371,3.843734,-4.641269,10.346181,5.325676,2.85496,-5.381037,9.518925,5.30093,1.504589,-7.865848,4.685515,3.639448,-0.460402,-4.066708,5.32604,2.226739,0.034309,-4.145268,32.60756,15.107704,9.428904,-2.149515,9.803224,4.57741,2.195555,-12.0842,18.555322,8.220081,1.702088,-13.376997,7.228593,5.749869,-2.048777,-10.364196,9.917033,4.163124,-0.017236,-2.693731,9.595657,4.571729,2.868474,-2.573745,11.674449,5.120656,3.635037,-2.653661,4.6012,2.871512,0.602387,-9.325029,3.553075,3.583279,-0.990911,-5.053556,4.812886,2.251302,-0.1167,0
12.101505,34.109827,8.962509,23.782951,-9.113342,10.384141,7.35573,0.15441,-7.170846,7.482255,4.900045,1.382105,-6.20691,4.298699,2.976667,0.122338,-5.564557,5.328229,2.541834,0.230124,-6.901155,28.80537,13.01547,8.571316,-11.95518,8.14326,7.715683,-1.764098,-9.819898,9.670739,5.590214,2.15352,-4.884443,7.864758,3.64094,0.203283,-5.578723,4.076029,2.318639,0.092973,-38.174226,18.386198,21.032706,-16.04478,-9.842786,7.458278,6.770573,0.57783,-12.363203,6.494721,5.536136,0.038884,-7.660643,7.971284,4.163156,-0.143895,-3.012489,3.274074,1.594321,-0.042758,-5.695799,16.21162,8.077454,3.022671,-7.752872,2.813904,4.206503,-0.546114,-2.696778,4.829972,2.613807,0.42161,-8.271118,5.350284,4.040546,0.319474,-4.30496,4.304854,1.961454,-0.013741,5.98032,34.885625,10.925839,21.500455,-11.404494,6.106388,6.536434,-0.552421,-2.926649,6.586558,2.846322,0.978761,-8.0457,10.761949,5.685198,-0.317271,-5.550936,4.303734,2.141954,-0.06427,-1.686818,12.78012,5.742483,4.53398,-12.984053,1.482977,5.781836,-3.690813,-5.011251,5.515057,3.270371,0.615033,-4.100971,3.791227,1.924468,-0.023918,-3.027003,2.800235,1.451821,0.026881,0
