@relation Sub1_B_64_ERT

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute class {0,1}

@data
2.396779899999999941e+01,2.163235430000000008e+02,3.509895000000000209e+00,1.900419799999999952e+02,-2.460752999999999968e+00,1.455523527999999942e+03,7.001620070000000169e+02,3.038909199999999942e+02,1.739998339999999928e+02,-9.787931000000000381e+00,1.029038184000000001e+03,-5.200162999999999869e+00,1.460305294000000004e+03,3.536558170000000132e+02,-2.296387999999999874e+00,2.058416967000000113e+03,3.581681199999999876e+02,6.423339699999999652e+01,2.539453650000000096e+02,7.076616129999999885e+02,1.781080120000000022e+02,3.313343689999999810e+02,3.478589759999999842e+02,-5.027604000000000184e+00,3.550797759999999812e+02,5.742451599999999701e+01,7.918801590000000488e+02,3.165554250000000138e+02,2.436133450000000096e+02,3.019486850000000118e+02,-8.251708000000000709e+00,1.971944299999999828e+01,7.547952189999999746e+02,2.059087279999999964e+02,3.118236979999999789e+02,3.538660869999999932e+02,0
1.937818199999999891e+01,3.064649800000000113e+01,-2.463697099999999907e+01,-1.458213399999999993e+01,-4.827188999999999730e+00,8.773552999999999713e+00,-1.342666700000000013e+01,1.892105799999999860e+01,-3.779207000000000249e+01,8.762699999999999656e-02,2.707987000000000144e+00,-1.148836000000000013e+01,8.834694000000000713e+00,4.334353000000000122e+00,-3.087218000000000018e+00,3.742811999999999806e+00,1.706978000000000106e+00,1.242380000000000012e-01,4.158385200000000026e+01,7.735928999999999611e+00,5.841324000000000183e+00,5.877021000000000051e+00,4.205142000000000380e+00,-5.784106000000000414e+00,2.865063999999999833e+00,1.692003899999999916e+01,4.239350400000000008e+01,9.218349999999999156e+00,3.158105600000000024e+01,3.651896999999999949e+00,-1.230142200000000052e+01,1.446285899999999991e+01,2.846012699999999995e+01,2.376826499999999953e+01,2.232005000000000017e+00,3.507474999999999898e+00,0
3.093808999999999809e+00,9.839733999999999980e+00,-2.414594999999999914e+01,-1.589941100000000063e+01,-7.201762999999999693e+00,8.783106999999999331e+00,-8.942783999999999622e+00,1.374642700000000062e+01,-2.161438800000000171e+01,-1.312464699999999951e+01,7.805786999999999587e+00,-4.796547000000000338e+00,6.438171999999999784e+00,2.746475999999999917e+00,-5.104188999999999865e+00,6.076946000000000403e+00,2.175416999999999934e+00,-1.653479999999999950e-01,3.163932499999999948e+01,1.208711300000000044e+01,4.584354000000000262e+00,2.445863999999999816e+00,4.048670000000000435e+00,-6.551288999999999696e+00,2.033694000000000113e+00,1.770011900000000082e+01,2.924875600000000020e+01,4.556227999999999945e+00,2.208600600000000114e+01,8.021708000000000283e+00,-9.114553000000000793e+00,1.409870199999999940e+01,3.295419600000000315e+01,2.126765699999999981e+01,4.714944000000000024e+00,2.370000999999999802e+00,0
6.680865999999999971e+00,1.299323000000000050e+01,-2.843749599999999944e+01,-1.659871000000000052e+01,-6.556147000000000169e+00,4.648208999999999591e+00,-1.089256800000000069e+01,8.491220999999999464e+00,-2.180781999999999954e+01,-1.071032199999999968e+01,7.149723999999999968e+00,-5.333426000000000222e+00,3.725025000000000031e+00,2.777090999999999976e+00,-7.089407999999999710e+00,4.803073999999999621e+00,2.158443999999999807e+00,-9.421899999999999720e-02,1.686598800000000153e+01,5.622500999999999749e+00,2.843618000000000201e+00,4.324565999999999910e+00,4.090955000000000119e+00,-7.843760999999999761e+00,2.805887999999999938e+00,2.314910000000000068e+01,2.882523499999999927e+01,2.096029000000000142e+00,2.561020200000000102e+01,3.851300999999999863e+00,-9.635595999999999606e+00,1.939739399999999847e+01,2.771796099999999896e+01,2.292963999999999913e+01,3.080497999999999958e+00,2.866970999999999936e+00,0
-1.736520999999999981e+00,5.622894999999999754e+00,-2.658818000000000126e+01,-1.942264600000000030e+01,-9.165991000000000000e+00,6.420373999999999803e+00,1.665800799999999882e+01,1.547069399999999995e+01,-9.488682999999999979e+00,1.439140000000000086e+00,4.028603999999999630e+00,-1.658894000000000091e+00,4.234151999999999916e+00,1.568808999999999898e+00,-2.811494000000000160e+00,2.771916000000000047e+00,1.479468000000000005e+00,1.042219999999999952e-01,7.497489999999999988e-01,3.840268000000000015e+00,9.856219999999999981e-01,5.514402999999999722e+00,3.388342999999999883e+00,-5.075275999999999677e+00,2.046024000000000065e+00,1.095884999999999998e+01,3.512366699999999753e+01,9.607087999999999184e+00,1.899827600000000061e+01,9.562969999999999526e-01,-3.211184999999999956e+00,3.549757000000000051e+00,2.021000199999999936e+01,1.340764000000000067e+01,2.014184000000000196e+00,3.070997000000000199e+00,0
-1.486505799999999944e+01,-6.594539999999999846e-01,-3.061041499999999971e+01,-1.080783300000000047e+01,-1.056087600000000037e+01,7.622326000000000157e+00,2.390827499999999972e+01,1.285234499999999969e+01,6.472218999999999944e+00,-8.511172000000000182e+00,3.282636999999999805e+00,-1.181755800000000001e+01,5.900870000000000282e+00,4.105309000000000097e+00,-3.550158000000000147e+00,3.297130999999999812e+00,1.827125000000000110e+00,-9.841199999999999948e-02,2.875595999999999819e+00,2.534790999999999794e+00,-6.886110000000000397e+00,4.092159999999999798e+00,4.260548000000000002e+00,-6.868530999999999942e+00,3.332694000000000045e+00,1.024126300000000001e+01,2.857103999999999999e+01,7.401158999999999821e+00,2.289639000000000024e+01,9.852123999999999882e+00,-1.915471600000000052e+01,-8.912969000000000364e+00,5.629628000000000299e+00,-2.262456999999999940e+00,3.420401000000000025e+00,3.663062000000000040e+00,0
3.144715999999999845e+00,9.019066999999999723e+00,-4.121945000000000192e+00,3.946508000000000127e+00,-9.665991000000000000e+00,7.894428999999999697e+00,9.257186000000000803e+00,2.437044399999999911e+01,-2.518961300000000136e+01,-7.782574999999999577e+00,1.039959200000000017e+01,-4.002041000000000182e+00,8.417852999999999142e+00,3.771981999999999946e+00,-5.828273000000000259e+00,4.054071999999999676e+00,2.475242999999999860e+00,1.645919999999999883e-01,2.231839899999999943e+01,-3.268791999999999920e+00,-6.190648999999999624e+00,3.661801000000000084e+00,5.704228999999999772e+00,-3.276222999999999885e+00,1.697559000000000040e+00,1.183496599999999965e+01,4.367532400000000337e+01,1.135733899999999963e+01,2.806770600000000115e+01,5.573885999999999896e+00,-1.539282399999999917e+01,-1.860809700000000078e+01,-8.417051000000000727e+00,-1.514163899999999963e+01,7.288573000000000413e+00,3.821952000000000016e+00,0
2.021221999999999852e+00,1.641337700000000055e+01,1.131036899999999967e+01,2.174708000000000041e+01,-7.110669999999999824e+00,8.118793000000000148e+00,1.993726200000000048e+01,2.091937300000000022e+01,-4.655045999999999573e+00,-1.268278300000000058e+01,8.325430000000000774e+00,-3.680776999999999965e+00,7.935476999999999670e+00,3.533389000000000113e+00,-4.839142999999999972e+00,4.315239000000000047e+00,1.960069000000000061e+00,-1.139850000000000030e-01,1.617292199999999980e+01,6.369400999999999868e+00,-2.336280000000000023e-01,4.633017999999999859e+00,4.507417000000000229e+00,-4.280187999999999882e+00,2.028455000000000119e+00,1.276762599999999992e+01,2.655793699999999902e+01,5.268239999999999590e+00,1.888399400000000128e+01,4.239545999999999815e+00,-9.979224000000000316e+00,-8.495272999999999186e+00,5.475006100000000231e+01,3.284061200000000014e+01,8.650218999999999880e+00,3.838656999999999986e+00,0
-8.504200000000000870e+00,8.846137000000000583e+00,-1.783850299999999933e+01,-7.813480000000000203e+00,-3.537779000000000007e+00,4.663338999999999679e+00,-7.318580000000000085e-01,6.956533000000000300e+00,-1.162099000000000082e+01,-6.070812000000000097e+00,6.560578999999999716e+00,-6.505092999999999570e+00,6.285407000000000188e+00,3.345781000000000116e+00,-3.783148000000000177e+00,2.801169999999999938e+00,1.651926999999999923e+00,-1.029800000000000021e-01,3.843733999999999984e+00,1.034618099999999963e+01,2.854960000000000164e+00,5.300930000000000142e+00,3.639447999999999794e+00,-4.066708000000000212e+00,2.226738999999999802e+00,-4.145267999999999731e+00,3.260755999999999943e+01,1.510770400000000002e+01,9.428903999999999286e+00,4.577410000000000423e+00,-1.337699699999999936e+01,-2.693731000000000098e+00,9.595656999999999215e+00,2.868473999999999968e+00,5.120656000000000319e+00,3.583279000000000103e+00,0
1.210150499999999951e+01,2.378295100000000062e+01,-6.901155000000000150e+00,8.571315999999999491e+00,-9.819898000000000238e+00,7.864758000000000138e+00,1.838619800000000026e+01,2.103270600000000101e+01,-1.604477999999999938e+01,-9.842786000000000257e+00,6.494721000000000188e+00,-7.660643000000000313e+00,7.971283999999999814e+00,4.163155999999999857e+00,-3.012488999999999972e+00,3.274074000000000151e+00,1.594321000000000099e+00,-4.275799999999999740e-02,3.022670999999999886e+00,2.813903999999999961e+00,-5.461139999999999883e-01,2.613806999999999992e+00,4.040545999999999971e+00,-4.304960000000000342e+00,1.961454000000000031e+00,5.980319999999999858e+00,3.488562499999999744e+01,1.092583899999999986e+01,2.150045499999999876e+01,6.536433999999999855e+00,-8.045700000000000074e+00,-1.686817999999999929e+00,1.278012000000000015e+01,4.533979999999999677e+00,5.781836000000000197e+00,1.924468000000000067e+00,0
